"Term","Definition"
"Firewall","A control that enforces network traffic policy across a trust boundary."
"IDS","Intrusion Detection System -- an out-of-band monitoring technology that detects suspicious traffic but does not block it directly."
"IPS","Intrusion Prevention System -- an inline control that inspects and blocks malicious traffic in real time."
"WAF","Web Application Firewall -- a control that protects web applications by detecting and filtering malicious HTTP/HTTPS traffic."
"Reverse Proxy","A server-side intermediary that receives inbound requests on behalf of backend services."
"API Gateway","A control point that authenticates, validates, meters, and logs API calls."
"NAC","Network Access Control -- technology that evaluates endpoint identity or posture before granting network access."
"Recoverability","The ability of an environment to restore business function after failure or compromise."
"Horizontal Scaling","Increasing capacity by distributing workload across multiple systems."
"Vertical Scaling","Increasing capacity by adding more resources to a single system."
"Zero Trust","An architectural approach that denies implicit trust based on location and instead validates access continuously."
"Continuous Authorization","Reevaluating whether access remains justified throughout the life of a session."
"Context-Based Reauthentication","Requiring stronger proof of identity when contextual risk changes."
"Subject-Object Relationship","The precise access relationship between a requester and a protected resource."
"Microsegmentation","Fine-grained traffic control between individual workloads, services, or applications."
"Deperimeterization","Moving away from sole reliance on a single network perimeter as the primary trust model."
"SASE","Secure Access Service Edge -- a cloud-delivered architecture combining networking and security controls close to the user and workload."
"Attestation","Evidence that a device or workload is in a trustworthy state."
"Data Labeling","Marking data with visible or machine-readable indicators of sensitivity or handling requirements."
"Tagging Strategy","Applying metadata to resources or data so that automated controls can enforce policy."
"DLP","Data Loss Prevention -- a set of controls designed to prevent sensitive data from being lost, exposed, or exfiltrated."
"Defense-in-Depth","Layering controls so that the failure of one safeguard does not automatically produce compromise."
