"Term","Definition"
"OT","Operational Technology -- hardware and software that monitors and controls physical processes like turbines, valves, and infusion pumps."
"ICS / SCADA / DCS","Industrial Control System (umbrella), Supervisory Control and Data Acquisition (geographically distributed), and Distributed Control System (within-facility)."
"PLC / RTU / HMI / Historian","Programmable Logic Controller / Remote Terminal Unit / Human-Machine Interface / time-series database for OT data."
"Purdue Reference Model","A layered ICS architecture (Levels 0-5 plus an iDMZ) defining how IT and OT zones connect."
"ISA / IEC 62443","The international standard for industrial automation security, defining zones, conduits, and security levels."
"iDMZ","Industrial DMZ -- a mandatory boundary network between IT and OT containing patch servers, jump hosts, and replicated historians."
"Modbus / DNP3 / EtherNet/IP / S7 / OPC UA","Common industrial protocols; most legacy variants lack authentication, while OPC UA is the modern authenticated successor."
"Passive Monitoring (OT)","Read-only network observation that produces inventory and detection without sending packets to fragile devices."
"IoT","Internet of Things -- a broad category of low-power, network-connected devices built for specific, often non-IT purposes."
"SoC","System-on-Chip -- integrated CPU, memory, peripherals, and radios on a single die that defines a device's security floor."
"RF Technologies","Wireless technologies beneath IoT IP networking: Wi-Fi, BLE, Zigbee, Z-Wave, LoRaWAN, NB-IoT, LTE-M, and 5G."
"WPA3-Enterprise / EAP-TLS","Mutual certificate-based wireless authentication with forward secrecy."
"802.1X / NAC","Standards-based device authentication and posture checking for wired and wireless networks."
"Per-SSID VLAN","A wireless segmentation pattern where each SSID maps to its own VLAN and ACL."
"WIDS","Wireless IDS -- continuous monitoring for rogue APs, evil twins, and deauthentication attacks."
"NERC CIP","Mandatory cybersecurity standards for the North American Bulk Electric System."
"HIPAA / HITECH","U.S. healthcare privacy and breach-notification regulations."
"FDA Premarket Cybersecurity Guidance","Security-by-design, SBOM, and update-support requirements for medical devices."
"CMMC / NIST SP 800-171","Cybersecurity Maturity Model Certification and the control set for U.S. defense contractors handling CUI."
"ITAR / EAR","International Traffic in Arms Regulations / Export Administration Regulations -- U.S. export-control regimes affecting defense and dual-use technology data."
"Compensating Control","A protection placed around a system that cannot be made directly secure, reducing exploitability or blast radius."
"Network Isolation","Placing legacy or specialized systems in dedicated VLANs with strict default-deny ACLs."
"Protocol Mediation / Gateway","A modern proxy that fronts a legacy system to add authentication, encryption, or rate limiting."
"Jump Host / Bastion","A PAM-managed, MFA-required, session-recorded host through which administrative access flows."
"USB Controls","Hardware or software restrictions on removable media, addressing the original Stuxnet-style vector."
"EOL Hardware","End-of-Life Hardware -- devices the vendor no longer updates, usually requiring isolation plus a documented replacement roadmap."
