"Term","Definition"
"SQL Injection","A vulnerability where attacker input is concatenated into a SQL query and interpreted as SQL syntax; fixed with parameterized queries."
"XSS","Cross-Site Scripting -- injecting malicious script into a web page viewed by other users; fixed with output encoding and Content-Security-Policy."
"CSRF","Cross-Site Request Forgery -- a forged state-changing request submitted using the victim's authenticated session; fixed with CSRF tokens and SameSite cookies."
"SSRF","Server-Side Request Forgery -- a server making attacker-controlled HTTP requests, often targeting internal metadata services; fixed with URL allow-listing."
"CVE","Common Vulnerabilities and Exposures -- the standardized naming system for publicly disclosed vulnerabilities."
"CVSS","Common Vulnerability Scoring System -- the 0-10 severity scoring system for CVEs, with base, temporal, and environmental metric groups."
"SCAP","Security Content Automation Protocol -- a NIST suite (CVE, CVSS, CPE, OVAL, XCCDF) enabling automated vulnerability scanning and compliance assessment."
"OVAL","Open Vulnerability and Assessment Language -- an XML language for encoding machine-readable system-state checks that scanners execute."
"XCCDF","Extensible Configuration Checklist Description Format -- an XML language for machine-readable compliance checklists such as CIS Benchmarks."
"SBoM","Software Bill of Materials -- a machine-readable inventory of every component and dependency in a software artifact."
"SOAR","Security Orchestration, Automation, and Response -- a platform chaining security tool APIs into automated playbooks triggered by SIEM alerts."
"Playbook","The automated policy logic in a SOAR platform: when X fires, do Y, then Z."
"Runbook","The documented manual procedure an analyst follows when automation is insufficient or a human decision point is reached."
"IaC","Infrastructure as Code -- declarative, version-controlled infrastructure (Terraform, CloudFormation) enabling drift detection and pre-deployment scanning."
"NIST SP 800-61 Rev. 3","The current NIST incident-response publication, which frames its recommendations as a CSF 2.0 community profile."
"Order of Volatility","The principle that evidence most likely to disappear first (RAM, network state) must be captured before less volatile evidence (disk, logs)."
"Malware Sandbox","An isolated environment that detonates suspicious files, captures their behavior, and scores maliciousness without risking production."
"Chain of Custody","The documented, unbroken record of evidence handling that establishes the legal admissibility of forensic findings."
"JTAG","A hardware debugging interface used in forensics to extract raw storage from mobile and embedded devices when OS-level extraction is impossible."
"MTTD","Mean Time to Detect -- the average time between initial compromise and detection, the primary metric of detection effectiveness."
"MTTR","Mean Time to Respond -- the average time between detection and containment, the primary metric of response effectiveness."
"Credential Stuffing","An automated attack using previously breached username/password pairs against other services, relying on password reuse."
"PIR","Post-Incident Report -- a formal document produced after incident closure recording root causes, timeline, and remediation assignments."
