"Term","Definition"
"Functional Requirements","Descriptions of what a system does -- its features and behaviors."
"Non-Functional Requirements","Descriptions of quality attributes such as security, performance, and reliability."
"SAST","Static Application Security Testing -- analysis of source code for vulnerability patterns without execution."
"DAST","Dynamic Application Security Testing -- testing a running application by simulating attacks."
"IAST","Interactive Application Security Testing -- agent-based testing that observes applications during execution."
"RASP","Runtime Application Self-Protection -- security agents embedded in production applications to detect and block attacks in real time."
"SCA","Software Composition Analysis -- automated inventory and vulnerability assessment of open-source dependencies."
"SBoM","Software Bill of Materials -- a machine-readable inventory of every component in a software product."
"CI/CD","Continuous Integration / Continuous Deployment -- automated pipelines that build, test, and deploy software on every code change."
"Branch Protection","Repository policies that enforce reviews, status checks, or signed commits before merges."
"Canary Deployment","A release strategy that delivers changes to a small subset of users before a full rollout."
"Regression Testing","Testing to confirm that new code changes do not break previously verified functionality."
"Formal Methods","Mathematical specification and verification techniques for proving software correctness."
"Supply Chain Risk","Security risk arising from software or hardware components originating outside the organization."
"EOL","End-of-Life -- the date after which a vendor ceases to provide security updates for a product."
"TPM","Trusted Platform Module -- a dedicated security chip providing hardware-protected key storage, PCR measurements, and attestation."
"HSM","Hardware Security Module -- a tamper-resistant appliance for enterprise cryptographic operations and master key protection."
"vTPM","Virtual Trusted Platform Module -- a hypervisor-provided software implementation of a TPM for virtual machines."
"Secure Enclave","A CPU-protected memory region that is isolated even from the operating system and hypervisor."
"SED","Self-Encrypting Drive -- a storage device that implements encryption in its own firmware and controller."
"Secure Boot","A UEFI feature that verifies the cryptographic signature of each boot component before executing it."
"Measured Boot","A process that records cryptographic hashes of each boot component into TPM PCRs for remote attestation."
"Remote Attestation","Verifying a TPM quote of PCR values by a remote party to confirm platform integrity."
"IOMMU","Input/Output Memory Management Unit -- hardware that restricts which memory DMA-capable devices may access, preventing DMA attacks."
"Shimming","Interposing a hardware or software layer between components to intercept or manipulate communications."
"BadUSB","A firmware attack on USB devices that lets them impersonate other USB device classes."
"EMI","Electromagnetic Interference -- unintentional or intentional electromagnetic emissions that disrupt electronic devices."
"EMP","Electromagnetic Pulse -- an intense burst of electromagnetic energy capable of damaging or destroying electronics."
"TEMPEST","Government standards for shielding equipment against information leakage via unintentional electromagnetic emissions."
"Tamper Detection","Physical and logical mechanisms that detect unauthorized access to hardware."
"Self-Healing Hardware","Architectures that detect firmware or configuration corruption and automatically restore a verified trusted state."
