"Term","Definition"
"SIEM","Security Information and Event Management -- a platform that collects, normalizes, stores, correlates, and alerts on security telemetry."
"SIEM Pipeline","The flow of collection, normalization/enrichment, storage/indexing, correlation/detection, and alerting/dashboards."
"ECS / OCSF","Elastic Common Schema and Open Cybersecurity Schema Framework -- common normalization schemas for security telemetry."
"Hot / Warm / Cold Storage Tiers","Retention tiers from fast and expensive to slow and cheap, balancing query latency against cost."
"Detection-as-Code","Treating detection rules as software: version-controlled, peer-reviewed, tested, and lifecycle-managed."
"Sigma","A vendor-neutral YAML SIEM rule format with converters into specific SIEM query languages."
"YARA","A pattern-matching rule language for identifying malware by file content."
"Snort / Suricata Rules","Open network IDS signature languages widely shared by community and commercial feeds."
"UEBA","User and Entity Behavior Analytics -- behavioral baselining of users and entities to detect statistical anomalies."
"Risk Scoring","A composite numerical score per entity that aggregates anomalies for analyst review."
"Peer-Group Analysis","Comparing a user's behavior against peers in the same role to surface deviations."
"Threat Hunting","Proactive, hypothesis-driven search for adversaries already inside the environment."
"Honeypot / Honeynet","A decoy system or network used to detect and study attacker activity with high signal-to-noise ratio."
"Honey Token / Canary Credential","A decoy secret whose use generates a high-confidence alert."
"Threat Intelligence","Collected and refined information about adversaries -- their tools, TTPs, infrastructure, and targets."
"OSINT","Open-Source Intelligence -- intelligence drawn from public feeds, reports, and analyses."
"ISAC","Information Sharing and Analysis Center -- a sector-specific threat-sharing community (FS-ISAC, H-ISAC, E-ISAC, MS-ISAC)."
"STIX","Structured Threat Information eXpression -- a JSON data model for threat intelligence."
"TAXII","Trusted Automated eXchange of Indicator Information -- an HTTPS REST transport for STIX bundles."
"TIP","Threat Intelligence Platform -- a system that ingests, deduplicates, scores, ages, and operationalizes threat intelligence."
"Strategic / Operational / Tactical / Technical Intelligence","A four-tier layering of threat intelligence by audience and time horizon."
"IoC","Indicator of Compromise -- an observable artifact (IP, domain, hash, URL, mutex) associated with malicious activity."
"MTTD / MTTR","Mean Time To Detect / Mean Time To Respond -- the primary SOC effectiveness metrics."
"Dwell Time","The duration from initial compromise to detection -- the canonical measure of detective shortfall."
