"Term","Definition"
"Shared Responsibility Model","A framework dividing security duties between cloud provider and customer; the customer always owns data, identity, and configuration."
"IaaS","Infrastructure as a Service -- a cloud model providing virtualized compute, storage, and networking; the customer handles the OS and above."
"PaaS","Platform as a Service -- a cloud model providing a managed runtime; the customer handles application code and data."
"SaaS","Software as a Service -- a cloud model providing a complete application; the customer handles only their data, accounts, and configuration."
"CMK","Customer-Managed Key -- an encryption key controlled by the customer in a cloud KMS, enabling cryptographic deletion."
"BYOK / HYOK","Bring/Hold Your Own Key -- key management patterns where the customer imports or externally retains encryption keys."
"Container Orchestration","Automated scheduling, networking, and lifecycle management of containers, dominated by Kubernetes."
"Pod Security Standards","A Kubernetes mechanism for enforcing container-level constraints (non-root, dropped capabilities, read-only filesystem)."
"Network Policy","A Kubernetes resource that restricts which pods may communicate with which other pods."
"Serverless / FaaS","Function as a Service -- a compute model where the platform invokes customer functions on demand without persistent servers."
"Function Execution Role","The IAM identity granted to a serverless function; least privilege here is critical."
"IaC","Infrastructure as Code -- describing cloud infrastructure in declarative, version-controlled files (Terraform, ARM, CloudFormation)."
"Policy-as-Code","IaC scanning that enforces security policy automatically using tools like Checkov, tfsec, and OPA."
"OIDC Federation (CI/CD)","A pattern where a pipeline obtains short-lived cloud credentials via OpenID Connect rather than storing static keys."
"CASB","Cloud Access Security Broker -- a control point governing user access to cloud apps, with API and proxy deployment modes."
"Shadow IT","Cloud services adopted by employees without IT or security oversight."
"API Gateway","A centralized control point for authentication, authorization, rate limiting, validation, and observability of API traffic."
"SSRF","Server-Side Request Forgery -- a vulnerability that makes a server issue attacker-controlled requests, especially dangerous against cloud metadata services."
"IMDS","Instance Metadata Service -- an internal cloud endpoint exposing instance role credentials; IMDSv2 mitigates SSRF abuse."
"Data Exposure","A cloud storage resource made accessible to unauthorized parties, typically due to misconfiguration."
"Data Leakage","Loss of data through legitimate channels used in unintended ways."
"Data Remanence","Residual data that persists after deletion; addressed in the cloud through cryptographic erasure."
"CSPM","Cloud Security Posture Management -- tooling that continuously assesses cloud configuration against security baselines."
"CNAPP","Cloud-Native Application Protection Platform -- a unified platform combining CSPM, workload protection, and IaC scanning."
"Direct Connect / ExpressRoute / Cloud Interconnect","Private, dedicated connectivity options between customer networks and cloud providers."
"FedRAMP","The U.S. government authorization framework for cloud services used by federal agencies, based on NIST SP 800-53."
