"Term","Definition"
"Policy","A high-level, mandatory document signed by senior management stating the organization's security intent and goals -- the ""why"" and ""what,"" with no technical specifics."
"Standard","A mandatory document defining the specific, measurable technical requirements (algorithms, thresholds, configurations) that make a policy enforceable."
"Guideline","The one optional document type in the hierarchy -- recommended best practices for meeting a standard, with no penalty for using another compliant method."
"Procedure","A mandatory, exact step-by-step set of instructions for a task; rewritten most often because it is tied to specific tools and versions."
"RACI Matrix","A responsibility-assignment table mapping who is Responsible, Accountable, Consulted, and Informed for a task, so ownership is unambiguous before an incident occurs."
"Management Commitment","The ""tone at the top"" -- the degree to which senior executives actively fund and enforce the security program, proven through budget allocation and consistent enforcement."
"Social Engineering","The psychological manipulation of people into performing actions or revealing confidential information, trading on traits like helpfulness, deference to authority, and urgency."
"Phishing","A social-engineering attack using fraudulent communications (usually email) to trick a victim into revealing credentials, clicking a malicious link, or running malware."
"Spear Phishing","A phishing attack tailored to a specific individual or department using prior research to make the message personally convincing."
"Whaling","A form of spear phishing aimed at high-profile executives (CEO, CFO) to authorize wire transfers or unlock the most sensitive assets."
"Vishing","Voice phishing -- social engineering conducted over the phone, often with spoofed caller ID impersonating IT or a known employee."
"Smishing","Smishing -- SMS (text message) phishing that often exploits urgency, such as a fake CEO gift-card request."
"OPSEC","Operational Security -- the practice of protecting small, individually harmless pieces of public information that an attacker could combine into something dangerous."
"Situational Awareness","The ability to identify, process, and comprehend critical elements of one's environment to keep sensitive data from being exposed to an adversary."
"COBIT","Control Objectives for Information and Related Technologies -- an executive IT-governance framework that defines the control objectives IT must meet (the ""what"")."
"ITIL","Information Technology Infrastructure Library -- an IT service-management framework specifying day-to-day operational processes like ticketing and change management (the ""how"")."
"NIST CSF","NIST Cybersecurity Framework -- a voluntary US framework organized around five functions (Identify, Protect, Detect, Respond, Recover) used as a common language for program maturity."
"ISO 27000","The international standard series for establishing and maintaining an Information Security Management System (ISMS); certification is granted after an external audit."
"SOC 2","A reporting framework whose auditor-attested report cloud and SaaS providers use to prove to customers that they handle data responsibly."
"Data Governance","The management of data's availability, usability, integrity, and security across the enterprise, including its lifecycle from creation to secure destruction."
"Data Masking","Replacing sensitive fields in a copy of production data (names, card numbers) with realistic fake values so it is safe to use in staging while keeping the same structure."
"Synthetic Data","Artificially generated data that statistically mirrors production data without containing any real user information."
"GDPR","General Data Protection Regulation -- the EU privacy law requiring explicit consent, the right to erasure, and 72-hour breach notification, backed by fines up to 4% of global revenue."
"CCPA","California Consumer Privacy Act -- a California privacy law giving consumers the right to know what data is collected and to opt out of its sale."
"HIPAA","Health Insurance Portability and Accountability Act -- a US law mandating safeguards, access logs, and encryption for electronic Protected Health Information (ePHI)."
"PCI DSS","Payment Card Industry Data Security Standard -- a contractual (not legal) standard from the card brands requiring network segmentation and controls for cardholder data."
"Data Sovereignty","The legal principle that digital data is subject to the laws and regulations of the country in which it is physically stored."
