"Term","Definition"
"PKI","Public Key Infrastructure -- the CAs, RAs, policies, and software that issue and manage digital certificates."
"CA","Certificate Authority -- a trusted third party that signs digital certificates, usually in a root plus intermediate hierarchy."
"RA","Registration Authority -- the PKI component that performs identity vetting before a certificate is issued."
"CSR","Certificate Signing Request -- the data structure a subscriber submits to request a certificate, containing the public key and identity claims."
"CRL","Certificate Revocation List -- a signed list of revoked certificate serial numbers published by a CA."
"OCSP","Online Certificate Status Protocol -- a real-time protocol for checking the revocation status of a single certificate."
"OCSP Stapling","An optimization where the server fetches and attaches a fresh OCSP response during the TLS handshake."
"SAN","Subject Alternative Name -- a certificate extension listing the hostnames a certificate is valid for."
"EKU","Extended Key Usage -- a certificate extension constraining which cryptographic operations the certificate may perform."
"CT","Certificate Transparency -- a public, append-only log of issued certificates that enables detection of unauthorized issuance."
"ACME","Automated Certificate Management Environment -- the protocol used by Let's Encrypt and others to automate certificate issuance and renewal."
"mTLS","Mutual TLS -- TLS in which both client and server authenticate via certificates."
"Symmetric Cryptography","Encryption using a single shared key; fast and used for bulk data (AES, ChaCha20)."
"Asymmetric Cryptography","Encryption using a key pair; used for authentication, key exchange, and signatures (RSA, ECDSA, Ed25519)."
"AEAD","Authenticated Encryption with Associated Data -- a modern symmetric mode providing confidentiality and integrity in one primitive (AES-GCM, ChaCha20-Poly1305)."
"Envelope Encryption","A pattern where a Data Encryption Key encrypts data and a Key Encryption Key (in an HSM/KMS) encrypts the DEK."
"KEK / DEK","Key Encryption Key / Data Encryption Key -- the two-tier keys used in envelope encryption."
"HSM","Hardware Security Module -- a tamper-resistant hardware device dedicated to safeguarding and operating on cryptographic keys."
"KMS","Key Management Service -- a cloud-managed service for centralized key storage, rotation, and access control."
"PFS","Forward Secrecy -- the property that compromise of long-term keys does not expose past session traffic, achieved through ephemeral key exchange."
"Key Stretching","Deliberately slow key derivation from low-entropy secrets (PBKDF2, bcrypt, scrypt, Argon2)."
"Key Splitting","Shamir's Secret Sharing -- dividing a secret into shares such that a quorum is required to reconstruct it."
"Cryptographic Erase","Destroying the key under which data was encrypted, rendering the ciphertext unrecoverable."
"Tokenization","Replacing sensitive values with non-sensitive surrogate tokens linked through a separate vault."
"Pseudonymization / Anonymization","Reversible (pseudonymization) and irreversible (anonymization) techniques for reducing the identifiability of data."
"Code Signing","Cryptographically signing software artifacts to provide authenticity, integrity, and non-repudiation."
"Non-Repudiation","A cryptographic property that prevents a signer from credibly denying a signature."
"FIDO2 / WebAuthn","Standards for passwordless, phishing-resistant authentication using device-bound key pairs."
"HE","Homomorphic Encryption -- encryption that allows computation directly on ciphertext."
"SMPC","Secure Multiparty Computation -- joint computation across multiple parties that preserves the privacy of each party's input."
"Confidential Computing / TEE","Trusted Execution Environment -- a CPU-backed environment where memory is encrypted and inaccessible to the host OS or hypervisor."
"PQC","Post-Quantum Cryptography -- public-key algorithms designed to resist quantum computers (ML-KEM, ML-DSA, SLH-DSA)."
"Harvest-Now-Decrypt-Later","An adversary strategy of recording encrypted traffic today for decryption once quantum computers exist."
"Cryptographic Agility","An architectural property allowing cryptographic algorithms to be replaced without redesigning the surrounding system."
"Immutable Database / Blockchain","Append-only, hash-chained data structures that provide tamper-evident record keeping."
