"Term","Definition"
"Non-Explainable AI","AI models (like deep neural networks) that function as a black box, handling massive complexity but unable to explain how they reached a conclusion."
"XAI","Explainable AI -- models designed for transparency and auditability (like decision trees) whose decision-making humans can follow."
"Deepfake","Synthetic media generated by AI (often using GANs) to realistically impersonate a human being."
"GAN","Generative Adversarial Network -- two competing AI networks, a Generator creating fakes and a Discriminator detecting them, used to create realistic synthetic media."
"Cryptographic Provenance (C2PA)","A defense against deepfakes that cryptographically signs media at the hardware level to prove it has not been altered by AI."
"Intelligent Fuzzing","Using AI (like an LLM) to analyze source code and generate highly targeted inputs to discover vulnerabilities, rather than random mutation."
"Polymorphic Malware","Malware that uses AI to rewrite its own source code on the fly during execution, evading signature-based antivirus detection."
"RAG","Retrieval-Augmented Generation -- connecting an LLM to a vector database of proprietary documents so it can answer questions from internal data."
"Direct Prompt Injection (Jailbreaking)","An attack where the user crafts chatbot inputs designed to override the AI's ethical safeguards or system instructions."
"Indirect Prompt Injection (RAG Poisoning)","An attack that hides a malicious payload in a document later ingested by a RAG system, compromising the AI without direct interaction."
"Semantic Firewall","A defense-in-depth strategy (dual-LLM architectures, privilege separation) that protects the trust boundaries around an LLM."
"Insecure Output Handling","An OWASP LLM vulnerability where a downstream system blindly trusts and executes an LLM's output, enabling attacks like XSS or SSRF."
"Model Denial of Service","An energy-latency attack that submits mathematically complex prompts (sponge examples) to exhaust GPU resources and spike cloud costs."
"Data Poisoning","An attack during the training phase where an adversary subtly alters the training dataset to insert permanent backdoors into the model."
"Model Inversion","An attack that prompts an LLM to regurgitate the sensitive data (PII or PHI) it was trained on."
"Differential Privacy","A technique that injects statistical noise into a training dataset to prevent an AI from memorizing individual records."
"Federated Learning","Training a model locally on edge devices and sharing only updated weights, so raw data never leaves the device."
"Enterprise-Tenant AI","A sanctioned corporate-tier AI environment where the vendor guarantees prompts are encrypted and never used to train public models."
