"Term","Definition"
"Change Management","A formal process for proposing, approving, scheduling, implementing, and reviewing modifications to production systems."
"CMDB","Configuration Management Database -- the system of record for assets and their relationships, on which every other control depends."
"Asset Management Lifecycle","Procurement, operation, maintenance, and decommissioning of assets, recorded against the CMDB."
"EDR","Endpoint Detection and Response -- a behavior-based endpoint platform combining a lightweight agent, cloud analytics, and active response."
"XDR","Extended Detection and Response -- EDR extended with network, identity, email, and cloud telemetry for cross-domain detection."
"HIDS / HIPS","Host-based Intrusion Detection / Prevention Systems -- legacy terminology now largely subsumed by EDR."
"Host Firewall","A per-host packet filter, critical for limiting lateral movement."
"EPM","Endpoint Privilege Management -- removes local administrator rights and elevates approved applications on demand."
"Application Allowlisting","Allowing only approved executables to run (WDAC, AppLocker, and equivalents)."
"SELinux / AppArmor","Linux mandatory access control systems that confine processes to defined policies."
"ASR","Attack Surface Reduction -- a Windows feature set that disables specific risky behaviors at the OS level."
"Credential Dumping","Extraction of credentials from process memory or system stores (Mimikatz, LSASS read)."
"LOLBins","Living-off-the-Land Binaries -- built-in OS tools attackers use to avoid dropping new files (certutil, regsvr32, wmic, PowerShell)."
"BYOVD","Bring Your Own Vulnerable Driver -- loading a signed but buggy driver to disable kernel-protected security agents."
"Browser Isolation","Remote rendering of web content so that renderer compromises cannot reach the user's endpoint."
"IDS / IPS","Network Intrusion Detection / Prevention Systems that run rule-based and behavioral analysis at chokepoints."
"Asymmetric Routing","Outbound and return traffic taking different paths, which commonly breaks stateful firewalls."
"VLAN Hopping","An attack exploiting trunk-port misconfiguration to reach segments that should be unreachable."
"MSS Clamping","Adjusting the TCP maximum segment size option to avoid fragmentation across VPN tunnels with smaller MTU."
"Microsegmentation","Per-workload network policy enforced at the host or hypervisor."
"DNSSEC","Cryptographic signing of DNS records to prevent forgery."
"DNS Sinkholing","Defensive DNS responses that redirect queries for known-bad domains to controlled addresses."
"Zone Transfer (AXFR)","Bulk DNS zone replication, which must be restricted so internal naming maps do not leak."
"DoH / DoT","DNS over HTTPS / DNS over TLS -- protocols that encrypt DNS resolution traffic."
"SPF","Sender Policy Framework -- a DNS record listing IPs authorized to send email for a domain."
"DKIM","DomainKeys Identified Mail -- a cryptographic signature over email headers and body verified via DNS-published public keys."
"DMARC","A policy framework aligning SPF/DKIM with the visible From domain and instructing receivers how to handle failures."
"DDoS","Distributed Denial of Service -- attacks in three categories (volumetric, protocol, application), each requiring different mitigations."
"MDM / UEM","Mobile Device Management / Unified Endpoint Management -- the centralized control plane for enrolled mobile and desktop devices."
"Selective Wipe","Removal of corporate container contents on a BYOD device without touching personal data."
"App Containerization","Sandboxing work data on personal devices (iOS Managed Apps, Android Work Profile)."
"COBO / COPE / BYOD","Corporate-Owned Business-Only / Corporate-Owned Personally Enabled / Bring Your Own Device -- three deployment models with distinct security implications."
