"Term","Definition"
"Risk","The probability of a threat exploiting a vulnerability, combined with the resulting business impact."
"Quantitative Risk Analysis","Determining risk using hard financial data and historical statistics to calculate exact dollar amounts."
"Qualitative Risk Analysis","Determining risk using subjective judgment, experience, and descriptive labels such as Low, Medium, and High."
"SLE","Single Loss Expectancy -- the financial cost of a single occurrence of a threat."
"ARO","Annualized Rate of Occurrence -- the historical probability of a threat occurring in a single year."
"ALE","Annualized Loss Expectancy -- the total financial loss expected from a threat per year, calculated as SLE times ARO."
"Risk Appetite vs. Tolerance","Appetite is the broad willingness to take risk for strategic goals; tolerance is the specific, measurable deviation allowed."
"Risk Treatment Strategies","The four choices for facing risk: Mitigation (reducing), Transference (insurance), Avoidance (canceling), or Acceptance."
"GRC Tools","Governance, Risk, and Compliance platforms used to map controls, automate audits, and provide continuous security monitoring."
"APT","Advanced Persistent Threat -- a highly funded, government-sponsored (nation-state) adversary focused on espionage or destructive cyber warfare."
"Hacktivist","An adversary primarily motivated by ideology or politics rather than financial gain."
"Organized Crime","Adversaries motivated purely by financial gain, often operating Ransomware-as-a-Service (RaaS) operations."
"Insider Threat","An adversary, malicious or accidental, who already has legitimate access to the internal network."
"Vendor & Subprocessor Risk","The risk that a third-party vendor (or the vendor's vendor) suffers a breach that exposes the primary organization's data."
"Zero-Day Exploit","A cyberattack that occurs on the same day a weakness is discovered in software, meaning no patch yet exists."
"Cyber Kill Chain","A framework modeling the sequential phases of a cyberattack."
"MITRE ATT&CK","A granular knowledge base of real-world adversary tactics and techniques."
"STRIDE","A software threat-modeling framework covering Spoofing, Tampering, Repudiation, Information Disclosure, Denial of Service, and Elevation of Privilege."
"CAPEC & OWASP","Frameworks listing common attack patterns (CAPEC) and the top critical web application security risks (OWASP)."
"Attack Surface","The total sum of all possible points where an unauthorized user can enter or extract data from an environment."
"Trust Boundary","Any point in a system where data changes its level of trust, such as passing from the public internet into a private network."
"Connected vs. Disconnected Backups","Connected backups are fast but vulnerable to ransomware; disconnected (air-gapped) backups are offline and immune to network attacks."
"Remote Journaling","Transmitting database transaction logs offsite in real time to prevent data loss."
